Version,Bin,HBW,HBShp,HBOth,HBSch_Pr,HBSch_Sc,NHBW,NHBNW,LT,MD,HV,IX,IX_LT,IX_MD,IX_HV,XI,XI_LT,XI_MD,XI_HV
v9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
v9,2,0.9993574,0.995,0.98,0.88,0.9192479,0.98,0.9998,0.7347092,0.8973684,0.7726857,0.9989529,0.9989529,0.9923661,0.9923943,0.998,0.998,0.9644044,0.9582352
v9,4,0.94,0.7468942,0.8156454,0.73,0.3193954,0.885,0.8618253,0.3762377,0.4765048,0.3891048,0.9897059,0.9897059,0.9549386,0.960358,0.96,0.96,0.8664545,0.8770457
v9,6,0.3056558,0.4987883,0.2313592,0.3954032,0.0385103,0.55,0.4028693,0.1041812,0.2064763,0.1472042,0.9641176,0.9641176,0.8688088,0.8783566,0.7399215,0.7399215,0.6864575,0.6958914
v9,8,0.1727251,0.2704202,0.1002163,0.0645669,0.0095252,0.3266144,0.2086301,0.0285376,0.0794659,0.0477423,0.8822073,0.8822073,0.7319701,0.7475109,0.5261421,0.5261421,0.4558959,0.4352722
v9,10,0.1353842,0.1461689,0.0573553,0.00705,0.0051119,0.2008064,0.1096581,0.0148914,0.0268644,0.0172999,0.7939322,0.7939322,0.5749666,0.5878292,0.3947206,0.3947206,0.2664798,0.2714227
v9,12,0.1140703,0.0670591,0.0330797,0.00305,0.0026495,0.1358886,0.0696255,0.0087556,0.0141521,0.0108967,0.7063664,0.7063664,0.4369421,0.4499912,0.2653975,0.2653975,0.1551087,0.1644043
v9,14,0.1005736,0.0356597,0.021126,0.0016448,0.0013636,0.094952,0.0478365,0.0056553,0.0117008,0.0094196,0.6188006,0.6188006,0.3583903,0.3663669,0.1643149,0.1643149,0.0996684,0.0972675
v9,16,0.0869858,0.0207377,0.011634,0.0012,0.0008267,0.0667636,0.0323396,0.0039161,0.0099851,0.0084724,0.5312349,0.5312349,0.3163803,0.3207559,0.119527,0.119527,0.0681803,0.0638696
v9,18,0.0731164,0.0131923,0.0082001,0.00097,0.0005811,0.0490878,0.0233767,0.002989,0.0086218,0.0076443,0.4436691,0.4436691,0.2910523,0.2942064,0.0958463,0.0958463,0.0495711,0.0485701
v9,20,0.0609015,0.0095254,0.005938,0.0008109,0.00039,0.0385711,0.017536,0.0024816,0.0076667,0.0069537,0.3561033,0.3561033,0.2689028,0.2719896,0.0703973,0.0703973,0.0389049,0.03858
v9,22,0.0547265,0.0063796,0.0046668,0.0006389,0.00024,0.0289765,0.0117616,0.0021025,0.006964,0.0064475,0.3409288,0.3409288,0.2483577,0.251654,0.0662551,0.0662551,0.0312677,0.0311479
v9,24,0.0485515,0.004583,0.0037364,0.0005027,0.0001507,0.0226269,0.0089709,0.0017986,0.0064344,0.0060179,0.3257543,0.3257543,0.2278651,0.2307117,0.0621129,0.0621129,0.0261709,0.0268196
v9,26,0.0423765,0.0033079,0.0028297,0.0003963,0.0000796,0.0188509,0.0073854,0.0015469,0.0060098,0.0056518,0.3105798,0.3105798,0.207758,0.2119367,0.0579707,0.0579707,0.023169,0.0243409
v9,28,0.0362015,0.0022695,0.002346,0.0003241,0.0000574,0.016524,0.0062842,0.0013617,0.0055973,0.0053328,0.2954053,0.2954053,0.1916977,0.196161,0.0538285,0.0538285,0.0211459,0.0222182
v9,30,0.0300264,0.0016008,0.0020254,0.0002519,0.0000448,0.014488,0.0051829,0.0011984,0.0051919,0.0050535,0.2802308,0.2802308,0.1789855,0.1826424,0.0496863,0.0496863,0.0192689,0.0200302
v9,32,0.0276069,0.0013555,0.0017504,0.000196,0.000039,0.0129297,0.0042451,0.001047,0.0048079,0.0047988,0.2602102,0.2602102,0.1678619,0.1695442,0.0455685,0.0455685,0.0174621,0.0178057
v9,34,0.0251873,0.0011102,0.0014753,0.0001483,0.0000354,0.0113714,0.0035822,0.0009033,0.0044838,0.0045409,0.2401896,0.2401896,0.1570683,0.1576439,0.0414506,0.0414506,0.0156816,0.0159545
v9,36,0.0227677,0.0008649,0.001282,0.0000928,0.0000317,0.0098131,0.0029192,0.000771,0.0041688,0.0042796,0.2201689,0.2201689,0.1467546,0.1481457,0.0373328,0.0373328,0.0141801,0.0148194
v9,38,0.0203481,0.0006195,0.0011009,0.0000411,0.0000295,0.0082548,0.0025712,0.000657,0.0038444,0.00404,0.2001483,0.2001483,0.1379062,0.1406361,0.0332149,0.0332149,0.0129885,0.0138979
v9,40,0.0179285,0.0003742,0.0009311,0.000019,0.0000273,0.0066965,0.0022231,0.000563,0.0035164,0.0037789,0.1801277,0.1801277,0.1308197,0.133653,0.0290971,0.0290971,0.0119511,0.0130291
v9,42,0.0166298,0.0003357,0.0008177,0.0000155,0.0000253,0.0061917,0.0020464,0.0004907,0.0031942,0.0035162,0.1711277,0.1711277,0.1243463,0.1268366,0.0280922,0.0280922,0.0109483,0.0121404
v9,44,0.0153311,0.0002971,0.0007044,0.0000135,0.0000233,0.005687,0.0018697,0.0004423,0.0028645,0.003257,0.1621277,0.1621277,0.117844,0.1205756,0.0270873,0.0270873,0.0099066,0.0112935
v9,46,0.0140323,0.0002586,0.000591,0.0000115,0.0000214,0.0051823,0.0016929,0.0004127,0.0025318,0.0030163,0.1531277,0.1531277,0.1116923,0.1146073,0.0260824,0.0260824,0.0089348,0.0105055
v9,48,0.0127336,0.00022,0.0004776,0.0000095,0.0000194,0.0046775,0.0015162,0.0003877,0.0022158,0.0027987,0.1441277,0.1441277,0.1058313,0.1087494,0.0250775,0.0250775,0.0081728,0.009758
v9,50,0.0114349,0.0001815,0.0003642,0,0.0000174,0.0041728,0.0013395,0.0003652,0.0018868,0.0026006,0.1351277,0.1351277,0.1003308,0.1030812,0.0240726,0.0240726,0.007591,0.0090451
v9,52,0.0105049,0.0001669,0.0003302,0,0.0000156,0.0040228,0.0012255,0.0003443,0.0015565,0.0024135,0.1291277,0.1291277,0.0950558,0.0973652,0.0233726,0.0233726,0.0070904,0.0083259
v9,54,0.0095749,0.0001523,0.0002961,0,0.0000138,0.0038728,0.0011115,0.0003253,0.0012553,0.002216,0.1231277,0.1231277,0.0896423,0.0919833,0.0226726,0.0226726,0.0066009,0.007594
v9,56,0.008645,0.0001377,0.000262,0,0.0000121,0.0037228,0.0009975,0.0003062,0.0010054,0.0020197,0.1171277,0.1171277,0.084765,0.0867978,0.0219726,0.0219726,0.0061135,0.0069084
v9,58,0.007715,0.0001232,0.0002279,0,0.0000103,0.0035728,0.0008835,0.0002871,0.0008012,0.0018216,0.1111277,0.1111277,0.0802445,0.0816983,0.0212726,0.0212726,0.0056597,0.0062873
v9,60,0.006785,0.0001086,0.0001939,0,0.0000085,0.0034228,0.0007695,0.0002681,0.000636,0.0016376,0.1051277,0.1051277,0.0758952,0.0766132,0.0205726,0.0205726,0.005265,0.0057025
v9,62,0.0062182,0.0000982,0.0001739,0,0.0000065,0.0032428,0.0007202,0.000248,0.0005055,0.0014648,0.1011277,0.1011277,0.0715437,0.0718383,0.0198726,0.0198726,0.0049387,0.0051339
v9,64,0.0056515,0.0000878,0.0001539,0,0.0000045,0.0030628,0.0006709,0.0002273,0.0004067,0.0013125,0.0971277,0.0971277,0.0674551,0.0671668,0.0191726,0.0191726,0.0046216,0.0045586
v9,66,0.0050847,0.0000774,0.0001339,0,0.0000029,0.0028828,0.0006215,0.0002067,0.0003309,0.0011756,0.0931277,0.0931277,0.0635105,0.0624555,0.0184726,0.0184726,0.0043147,0.0040028
v9,68,0.004518,0.000067,0.0001139,0,0.0000014,0.0027028,0.0005722,0.0001854,0.0002729,0.0010412,0.0891277,0.0891277,0.0602528,0.057677,0.0177726,0.0177726,0.0040085,0.0036103
v9,70,0.0039512,0.0000565,0.0000939,0,0,0.0025228,0.0005229,0.000162,0.0002306,0.0009042,0.0851277,0.0851277,0.0571263,0.053836,0.0170726,0.0170726,0.003725,0.0033586
v9,72,0.0036132,0.0000541,0.0000879,0,0,0.0024328,0.0004902,0.0001362,0.0002015,0.0007623,0.0826277,0.0826277,0.0537447,0.0514915,0.0163726,0.0163726,0.0034741,0.0031437
v9,74,0.0032752,0.0000517,0.0000819,0,0,0.0023428,0.0004576,0.0001081,0.0001818,0.0006081,0.0801277,0.0801277,0.0507666,0.0492914,0.0156726,0.0156726,0.0032596,0.00293
v9,76,0.0029373,0.0000493,0.0000759,0,0,0.0022528,0.0004249,0.0000786,0.0001659,0.0004709,0.0776277,0.0776277,0.0482433,0.0469251,0.0149726,0.0149726,0.0030527,0.0027099
v9,78,0.0025993,0.0000469,0.0000699,0,0,0.0021628,0.0003923,0.0000491,0.0001543,0.0003552,0.0751277,0.0751277,0.0460599,0.0447689,0.0142726,0.0142726,0.0028456,0.0025235
v9,80,0.0022613,0.0000445,0.0000639,0,0,0.0020728,0.0003596,0.0000228,0.0001459,0.0002749,0.0726277,0.0726277,0.0438717,0.042867,0.0135726,0.0135726,0.0026478,0.0024005
v9,82,0.0021343,0.0000425,0.0000619,0,0,0.0019785,0.0003515,0.0000074,0.0001394,0.0002205,0.0701277,0.0701277,0.0417251,0.0411457,0.0128726,0.0128726,0.0024622,0.0023037
v9,84,0.0020074,0.0000405,0.0000599,0,0,0.0018841,0.0003434,0.0000007,0.0001341,0.0001802,0.0676277,0.0676277,0.0397223,0.0393831,0.0121726,0.0121726,0.0022996,0.0022141
v9,86,0.0018804,0.0000385,0.0000579,0,0,0.0017898,0.0003353,0,0.0001292,0.0001458,0.0651277,0.0651277,0.0380809,0.0377216,0.0114726,0.0114726,0.0021556,0.0021241
v9,88,0.0017535,0.0000365,0.0000559,0,0,0.0016955,0.0003272,0,0.0001248,0.0001176,0.0626277,0.0626277,0.03639,0.036321,0.0107726,0.0107726,0.0020202,0.002041
v9,90,0.0016265,0.0000345,0.0000539,0,0,0.0016012,0.0003191,0,0.0001202,0.0000977,0.0601277,0.0601277,0.034833,0.0351437,0.0100726,0.0100726,0.0018856,0.0019749
v9,92,0.0015561,0.000034,0.0000531,0,0,0.0015281,0.0003103,0,0.0001157,0.0000775,0.0581277,0.0581277,0.0333768,0.0340056,0.0093726,0.0093726,0.0017505,0.0019269
v9,94,0.0014858,0.0000335,0.0000523,0,0,0.0014551,0.0003015,0,0.0001112,0.0000602,0.0561277,0.0561277,0.0320027,0.0328536,0.0086726,0.0086726,0.0016346,0.001889
v9,96,0.0014154,0.000033,0.0000515,0,0,0.001382,0.0002927,0,0.0001065,0.0000452,0.0541277,0.0541277,0.0308723,0.0317932,0.0079726,0.0079726,0.0015637,0.0018542
v9,98,0.0013451,0.0000325,0.0000507,0,0,0.001309,0.0002839,0,0.0001019,0.0000315,0.0521277,0.0521277,0.0297952,0.0307819,0.0072726,0.0072726,0.0015303,0.0018196
v9,100,0.0012747,0.000032,0.0000499,0,0,0.0012359,0.0002751,0,0.0000975,0.0000193,0.0501277,0.0501277,0.0286996,0.0298211,0.0065726,0.0065726,0.0014959,0.0017852
v9,102,0.0012397,0.0000315,0.0000491,0,0,0.0011723,0.0002701,0,0.0000929,0.0000096,0.0481277,0.0481277,0.0276566,0.0288289,0.0063526,0.0063526,0.0014612,0.0017543
v9,104,0.0012047,0.000031,0.0000483,0,0,0.0011088,0.0002651,0,0.0000883,0.0000035,0.0461277,0.0461277,0.0267136,0.0278753,0.0061326,0.0061326,0.0014276,0.0017264
v9,106,0.0011697,0.0000305,0.0000475,0,0,0.0010452,0.0002601,0,0.0000837,0.0000008,0.0441277,0.0441277,0.0257593,0.0270029,0.0059126,0.0059126,0.0013953,0.0016994
v9,108,0.0011347,0.00003,0.0000467,0,0,0.0009817,0.0002551,0,0.000079,0.0000001,0.0421277,0.0421277,0.0248467,0.0261922,0.0056926,0.0056926,0.0013684,0.0016731
v9,110,0.0010997,0.0000295,0.0000459,0,0,0.0009181,0.0002501,0,0.0000727,0,0.0401277,0.0401277,0.023945,0.0253875,0.0054726,0.0054726,0.0013429,0.0016464
v9,112,0.0010647,0.000029,0.0000451,0,0,0.0008881,0.0002461,0,0.0000633,0,0.0383277,0.0383277,0.0230739,0.0246081,0.0053726,0.0053726,0.0013173,0.0016208
v9,114,0.0010297,0.0000285,0.0000443,0,0,0.0008581,0.0002421,0,0.0000508,0,0.0365277,0.0365277,0.0223113,0.0238571,0.0052726,0.0052726,0.0012913,0.0015982
v9,116,0.0009947,0.000028,0.0000435,0,0,0.0008281,0.0002381,0,0.0000371,0,0.0347277,0.0347277,0.0215581,0.0231581,0.0051726,0.0051726,0.0012664,0.0015759
v9,118,0.0009597,0.0000275,0.0000427,0,0,0.0007981,0.0002341,0,0.0000231,0,0.0329277,0.0329277,0.020781,0.0224713,0.0050726,0.0050726,0.0012425,0.0015536
v9,120,0.0009247,0.000027,0.0000419,0,0,0.0007681,0.0002301,0,0.0000111,0,0.0311277,0.0311277,0.0200519,0.0217801,0.0049726,0.0049726,0.0012203,0.0015306
v9,122,0.0008947,0.0000266,0.0000413,0,0,0.0007481,0.0002261,0,0.0000039,0,0.0301277,0.0301277,0.0193536,0.0211009,0.0049226,0.0049226,0.0011989,0.0015076
v9,124,0.0008647,0.0000262,0.0000407,0,0,0.0007281,0.0002221,0,0.0000008,0,0.0291277,0.0291277,0.0186935,0.0204485,0.0048726,0.0048726,0.0011773,0.0014847
v9,126,0.0008347,0.0000258,0.0000401,0,0,0.0007081,0.0002181,0,0.0000001,0,0.0281277,0.0281277,0.0180572,0.0198228,0.0048226,0.0048226,0.0011562,0.0014623
v9,128,0.0008047,0.0000254,0.0000395,0,0,0.0006881,0.0002141,0,0,0,0.0271277,0.0271277,0.0174359,0.0191805,0.0047726,0.0047726,0.0011354,0.0014406
v9,130,0.0007747,0.000025,0.0000389,0,0,0.0006681,0.0002101,0,0,0,0.0261277,0.0261277,0.0167895,0.0185654,0.0047226,0.0047226,0.0011141,0.0014187
v9,132,0.0007447,0.0000246,0.0000383,0,0,0.0006481,0.0002061,0,0,0,0.0253277,0.0253277,0.0161949,0.0179712,0.0046926,0.0046926,0.0010926,0.0013966
v9,134,0.0007147,0.0000242,0.0000377,0,0,0.0006281,0.0002021,0,0,0,0.0245277,0.0245277,0.0155981,0.017402,0.0046626,0.0046626,0.0010711,0.001374
v9,136,0.0006847,0.0000238,0.0000371,0,0,0.0006081,0.0001981,0,0,0,0.0237277,0.0237277,0.0150026,0.0168489,0.0046326,0.0046326,0.0010508,0.0013512
v9,138,0.0006547,0.0000234,0.0000365,0,0,0.0005881,0.0001941,0,0,0,0.0229277,0.0229277,0.0144337,0.0162645,0.0046026,0.0046026,0.0010297,0.0013289
v9,140,0.0006247,0.000023,0.0000359,0,0,0.0005681,0.0001901,0,0,0,0.0221277,0.0221277,0.0138546,0.0157343,0.0045726,0.0045726,0.0010077,0.0013068
v9,142,0.0005997,0.0000226,0.0000353,0,0,0.0005481,0.0001851,0,0,0,0.0219277,0.0219277,0.0132987,0.015179,0.0045526,0.0045526,0.0009862,0.0012842
v9,144,0.0005747,0.0000222,0.0000347,0,0,0.0005281,0.0001801,0,0,0,0.0217277,0.0217277,0.012752,0.014669,0.0045326,0.0045326,0.0009656,0.0012615
v9,146,0.0005497,0.0000218,0.0000341,0,0,0.0005081,0.0001751,0,0,0,0.0215277,0.0215277,0.0122153,0.0141565,0.0045126,0.0045126,0.000945,0.0012389
v9,148,0.0005247,0.0000214,0.0000335,0,0,0.0004881,0.0001701,0,0,0,0.0213277,0.0213277,0.0116753,0.0136598,0.0044926,0.0044926,0.0009235,0.0012169
v9,150,0.0004997,0.000021,0.0000329,0,0,0.0004681,0.0001651,0,0,0,0.0211277,0.0211277,0.0111836,0.0131864,0.0044726,0.0044726,0.000902,0.0011957
v9,152,0.0004747,0.00002,0.0000323,0,0,0.0004531,0.0001591,0,0,0,0.0209277,0.0209277,0.0106724,0.0127295,0.0044576,0.0044576,0.0008804,0.0011731
v9,154,0.0004497,0.000019,0.0000317,0,0,0.0004381,0.0001531,0,0,0,0.0207277,0.0207277,0.0102029,0.012258,0.0044426,0.0044426,0.0008596,0.0011503
v9,156,0.0004247,0.000018,0.0000311,0,0,0.0004231,0.0001471,0,0,0,0.0205277,0.0205277,0.0097305,0.0118188,0.0044276,0.0044276,0.0008387,0.0011243
v9,158,0.0003997,0.000017,0.0000305,0,0,0.0004081,0.0001411,0,0,0,0.0203277,0.0203277,0.0091795,0.0113415,0.0044126,0.0044126,0.0008171,0.0010897
v9,160,0.0003747,0.000016,0.0000299,0,0,0.0003931,0.0001351,0,0,0,0.0201277,0.0201277,0.0085866,0.0108836,0.0043976,0.0043976,0.0007956,0.0010498
